cores,time
1,110
2,57
3,39
4,30
5,24
6,21
7,18
8,16
9,15
10,14
11,13
12,13
13,12
14,12
15,12
16,11
17,11
18,11
19,11
20,10
21,10
22,9
23,10
24,9
25,10
26,9
27,9
28,9
29,9
30,9
31,9
32,8
33,8
34,9
35,8
36,8
37,9
38,8
39,8
40,9
